인구 (명),면적 (㎢),인구밀도 (명/㎢),주소
20740,0.75,27653,영등포구 당산1동
37102,1.55,23937,영등포구 당산2동
18704,0.88,21255,영등포구 양평1동
22583,3.00,7528,영등포구 양평2동
20483,0.66,31035,영등포구 신길1동
17281,0.52,33233,영등포구 신길3동
13016,0.38,34253,영등포구 신길4동
11212,0.47,23855,영등포구 신길5동
19593,0.65,30143,영등포구 신길6동
19899,0.64,31092,영등포구 신길7동
16506,0.49,33686,영등포구 대림1동
17523,0.55,31860,영등포구 대림2동
25205,0.95,26532,영등포구 대림3동
22714,1.02,22269,영등포구 영등포본동
30461,1.26,24175,영등포구 영등포동
19600,0.89,22022,영등포구 도림동
32540,1.49,21839,영등포구 문래동
11234,0.64,17553,동작구 노량진2동
46166,1.51,30574,동작구 상도1동
27982,0.98,28553,동작구 상도2동
24456,0.60,40760,동작구 상도3동
28564,0.75,38085,동작구 상도4동
23009,0.79,29125,동작구 사당1동
24189,0.92,26292,동작구 사당3동
14185,0.38,37329,동작구 사당4동
14434,0.57,25323,동작구 사당5동
37056,1.55,23907,동작구 대방동
25118,0.62,40513,동작구 신대방1동
22445,1.03,21791,동작구 신대방2동
30694,1.68,18270,동작구 흑석동
32114,1.58,20325,동작구 노량진1동
28786,2.75,10468,동작구 사당2동
24660,0.76,32447,관악구 보라매동
15005,0.30,50017,관악구 청림동
29636,0.72,41161,관악구 행운동
17928,2.27,7898,관악구 낙성대동
15685,0.39,40218,관악구 중앙동
26119,1.08,24184,관악구 인헌동
18163,3.27,5554,관악구 남현동
23511,0.65,36171,관악구 서원동
18620,0.55,33855,관악구 신원동
24361,0.99,24607,관악구 서림동
24719,0.64,38623,관악구 신사동
23877,0.54,44217,관악구 신림동
15050,0.80,18813,관악구 난향동
20490,0.67,30582,관악구 조원동
26301,8.30,3169,관악구 대학동
33156,0.78,42508,관악구 은천동
28830,0.68,42397,관악구 성현동
37132,1.18,31468,관악구 청룡동
26679,0.96,27791,관악구 난곡동
20642,2.66,7760,관악구 삼성동
30662,1.38,22219,관악구 미성동
20622,1.42,14523,서초구 서초1동
26932,1.24,21719,서초구 서초2동
32379,2.93,11051,서초구 서초3동
30521,0.88,34683,서초구 서초4동
26393,1.76,14996,서초구 잠원동
292,1.01,289,서초구 반포본동
34443,1.00,34443,서초구 반포1동
15742,1.35,11661,서초구 반포2동
22773,1.28,17791,서초구 반포3동
19486,1.43,13627,서초구 반포4동
20778,0.67,31012,서초구 방배본동
16883,0.70,24119,서초구 방배1동
18553,1.93,9613,서초구 방배2동
17321,2.40,7217,서초구 방배3동
23429,0.98,23907,서초구 방배4동
42683,5.76,7410,서초구 양재1동
21766,7.58,2872,서초구 양재2동
17455,12.68,1377,서초구 내곡동
15876,1.89,8400,강남구 신사동
17382,1.24,14018,강남구 개포3동
22080,1.25,17664,강남구 논현1동
20814,1.47,14159,강남구 논현2동
12739,1.94,6566,강남구 삼성1동
31062,1.24,25050,강남구 삼성2동
23846,0.79,30185,강남구 대치1동
19491,0.73,26700,강남구 대치4동
35556,2.35,15130,강남구 역삼1동
37269,1.15,32408,강남구 역삼2동
21274,1.02,20857,강남구 도곡1동
32846,1.02,32202,강남구 도곡2동
6922,1.27,5450,강남구 개포1동
23639,1.49,15865,강남구 개포4동
23015,2.58,8921,강남구 일원본동
14987,0.92,16290,강남구 일원1동
14402,1.43,10071,강남구 수서동
43382,6.36,6821,강남구 세곡동
25902,2.53,10238,강남구 압구정동
25489,2.33,10939,강남구 청담동
37098,2.00,18549,강남구 대치2동
29032,2.51,11567,강남구 개포2동
12910,0.77,16766,송파구 풍납1동
24426,1.59,15362,송파구 풍납2동
12255,0.51,24029,송파구 거여1동
23745,0.53,44802,송파구 거여2동
18618,0.58,32100,송파구 마천1동
18150,0.89,20393,송파구 마천2동
15460,0.50,30920,송파구 방이1동
26354,0.80,32943,송파구 방이2동
17804,3.17,5616,송파구 오륜동
38037,1.65,23053,송파구 오금동
24008,0.79,30390,송파구 송파1동
18947,0.53,35749,송파구 송파2동
31602,0.95,33265,송파구 석촌동
29912,0.95,31486,송파구 삼전동
25883,1.13,22905,송파구 가락본동
27521,1.34,20538,송파구 가락1동
31670,0.96,32990,송파구 가락2동
19916,0.56,35564,송파구 문정1동
28841,2.20,13110,송파구 문정2동
28358,0.94,30168,송파구 잠실본동
21223,1.56,13604,송파구 잠실4동
16713,2.79,5990,송파구 잠실6동
9427,0.60,15712,송파구 잠실7동
34876,2.18,15998,송파구 잠실2동
34143,1.49,22915,송파구 잠실3동
29102,1.37,21242,송파구 장지동
44613,2.55,17495,송파구 위례동
25641,0.61,42034,강동구 명일1동
17327,0.97,17863,강동구 명일2동
23919,1.51,15840,강동구 고덕1동
22764,2.50,9106,강동구 고덕2동
15069,1.18,12770,강동구 암사2동
17481,2.51,6965,강동구 암사3동
26670,0.71,37563,강동구 천호1동
26679,0.79,33771,강동구 천호3동
19900,0.58,34310,강동구 성내1동
23528,0.67,35116,강동구 성내2동
23071,0.71,32494,강동구 성내3동
73,0.92,79,강동구 둔촌1동
24277,1.56,15562,강동구 둔촌2동
34271,1.02,33599,강동구 암사1동
33825,1.57,21545,강동구 천호2동
45374,1.61,28183,강동구 길동
33057,2.26,14627,강동구 강일동
39178,1.82,21526,강동구 상일1동
11933,1.09,10948,강동구 상일2동
