학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000001863,서울망우초등학교,초등학교,1977-03-01,공립,본교,운영,서울특별시 중랑구 망우동 153-1,서울특별시 중랑구 망우로72길 49,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2023-11-15,37.59873698,127.1038418,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002395,서울길원초등학교,초등학교,2006-03-01,공립,본교,운영,서울특별시 성북구 길음동 1280-4,서울특별시 성북구 길음로15길 55,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.60906464,127.0167996,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001971,서울신미림초등학교,초등학교,2002-03-02,공립,본교,운영,서울특별시 구로구 신도림동 398-28,서울특별시 구로구 신도림로 26,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-11-15,37.50714192,126.8795527,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002268,서울서이초등학교,초등학교,1984-03-01,공립,본교,운영,서울특별시 서초구 서초동 1334-2,서울특별시 서초구 서운로 35,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.49156467,127.025618,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008194,방학중학교,중학교,1982-03-01,공립,본교,운영,서울특별시 도봉구 방학동 313,서울특별시 도봉구 시루봉로 188,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.66546957,127.030859,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008435,삼선중학교,중학교,1960-05-03,공립,본교,운영,서울특별시 성북구 동소문동4가 278-174,서울특별시 성북구 동소문로3길 69,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.59174763,127.0078716,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001945,서울한서초등학교,초등학교,1945-11-01,공립,본교,운영,서울특별시 마포구 염리동 24-140,서울특별시 마포구 대흥로24바길 27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.55364783,126.9497788,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001978,서울영남초등학교,초등학교,1956-05-17,공립,본교,운영,서울특별시 금천구 독산동 59-27,서울특별시 금천구 문성로 62-15,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-11-15,37.47612262,126.9092099,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000013460,용문고등학교,고등학교,1946-10-12,사립,본교,운영,서울특별시 성북구 안암동2가 96-1,서울특별시 성북구 고려대로17가길 46,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.58869033,127.0246608,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002155,서울토성초등학교,초등학교,1984-04-21,공립,본교,운영,서울특별시 송파구 풍납동 251,서울특별시 송파구 풍성로20길 44,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2023-11-15,37.53188286,127.1156331,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002404,서울성북초등학교,초등학교,1942-03-03,공립,본교,운영,서울특별시 성북구 성북동 66-1,서울특별시 성북구 성북로 102-10,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.59405389,126.9987754,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012001,신서고등학교,고등학교,2006-03-01,공립,본교,운영,서울특별시 양천구 신정동 984-1,서울특별시 양천구 은행정로 42,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2023-11-15,37.52391432,126.8602096,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011315,세그루패션디자인고등학교,고등학교,1974-09-15,사립,본교,운영,서울특별시 도봉구 쌍문동 263,서울특별시 도봉구 시루봉로 53,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.65634868,127.0268766,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002081,상명초등학교,초등학교,1964-02-06,사립,본교,운영,서울특별시 노원구 중계동 515-1,서울특별시 노원구 덕릉로 541,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.64872348,127.0669678,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012091,선사고등학교,고등학교,2011-03-01,공립,본교,운영,서울특별시 강동구 암사동 448,서울특별시 강동구 고덕로25길 17,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2023-11-15,37.55631588,127.1357998,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001960,서울매봉초등학교,초등학교,1985-10-28,공립,본교,운영,서울특별시 구로구 개봉동 3,서울특별시 구로구 고척로21길 55,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-11-15,37.50491523,126.8443653,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011946,태릉고등학교,고등학교,1985-03-01,공립,본교,운영,서울특별시 중랑구 묵동 6,서울특별시 중랑구 신내로23길 36,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2023-11-15,37.61916383,127.0855576,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011319,염광여자메디텍고등학교,고등학교,1968-03-02,사립,본교,운영,서울특별시 노원구 월계동 820-9,서울특별시 노원구 월계로45가길 9,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.63028445,127.0492646,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002398,서울월곡초등학교,초등학교,1972-07-14,공립,본교,운영,서울특별시 성북구 장위동 246-194,서울특별시 성북구 장월로3길 42,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.61002442,127.046081,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011922,덕성여자고등학교,고등학교,1920-04-19,사립,본교,운영,서울특별시 종로구 안국동 37-1,서울특별시 종로구 율곡로3길 50,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.57776082,126.9835581,2024-03-22,C738100,청주대학교 지방교육재정연구원
